City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Ambilobe,MG,70.23,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
551,Maua,BR,74.35,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
554,Ivanava,BY,65.77,broken clouds,52.1451,25.5365,Bed&Breakfast Valeria
557,Razdolnoye,RU,73.81,overcast clouds,43.55,131.9167,"Baza Otdykha ""Lesnaya"""
559,Santa Cruz De La Palma,ES,72.14,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
562,Mandera,KE,77.67,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
563,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
566,Monteiro,BR,68.83,broken clouds,-7.8894,-37.12,Pousada Seu Tião
572,Beidao,CN,65.71,light rain,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
573,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
576,Constantine,DZ,74.61,scattered clouds,36.365,6.6147,Grand Hotel Cirta
577,Talnakh,RU,69.08,broken clouds,69.4865,88.3972,Talnakh Hotel
580,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
586,Almansa,ES,68.09,scattered clouds,38.8692,-1.0971,Hotel Blu
587,Suzhou,CN,78.67,light rain,31.3114,120.6181,Holiday Inn Jasmine Suzhou
589,Bac Lieu,VN,78.49,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
590,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
591,Tatawin,TN,78.46,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
594,Alta Floresta,BR,79.7,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
600,Djambala,CG,71.82,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
610,Xifeng,CN,77.59,broken clouds,42.7372,124.7222,Home Inn Hotel
611,Taksimo,RU,66.56,clear sky,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
613,Riosucio,CO,72.03,light rain,5.4216,-75.7032,Finca cafetera La Ermita
614,Sambava,MG,69.21,overcast clouds,-14.2667,50.1667,Melrose
617,Keffi,NG,75.58,overcast clouds,8.8486,7.8736,Imam Family
619,Barguzin,RU,67.41,broken clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
626,Mathbaria,BD,79.65,overcast clouds,22.2876,89.9593,Shikdar Hotel
627,Hobyo,SO,76.48,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
631,Matara,LK,78.93,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
633,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
634,Murgud,IN,70.97,broken clouds,16.4,74.2,Hotel Sainath Tea Center
638,Faro,PT,78.58,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
639,Santa Luzia,BR,68.9,clear sky,-19.7697,-43.8514,Pousada Chao Earth
646,Sao Joao Da Barra,BR,71.91,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
650,Autazes,BR,79.77,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
651,Ca Mau,VN,77.16,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
652,Rasht,IR,77.92,clear sky,37.2808,49.5832,CCTV industry Yara
654,Koutsouras,GR,77.63,clear sky,35.0339,25.9469,The White Houses
656,Juneau,US,66.85,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
659,Camacha,PT,70.56,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
661,Mattru,SL,73.53,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
665,Suihua,CN,72.72,overcast clouds,46.6406,126.9969,Water Resources Bureau Hostel
666,Mabaruma,GY,75.67,few clouds,8.2,-59.7833,Monty Brooms Guest House
668,Horsham,GB,67.05,overcast clouds,51.064,-0.3272,Springfields Hotel
669,Sexsmith,CA,73.58,broken clouds,55.35,-118.786,Sexsmith Heritage Park
672,Magaria,NE,75.04,heavy intensity rain,12.9983,8.9099,Chez Honorable Chapiou
